                              | phys frel  mag | phys  frel  mag    re    ar      pa    n     | phys  frel  mag    hr    ar      pa   mu0    | phys  frel  mu0   rout   ar     pa    | phys frel mu0    rs    hs      pa   | phys  frel  mag   re     ar    pa  n         | phys  frel  mag    hr    ar     pa    mu0    | phys  frel  mu0   rout   ar     pa    | phys frel mu0    rs    hs     pa   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21    ESO119-016  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 14.286   32.7  0.362   25.3 23.856 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
22    ESO120-012  dd      2 5 |    -      -    |D    0.291 15.169   24.6  0.373  100.2  0.955 |D    0.709 14.191   20.3  0.675   86.4 22.723 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
23    ESO120-021  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 15.029   23.5  0.500  111.2 23.883 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
24    ESO145-025  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.923 14.164   28.9  0.666  111.6 23.460 |BAR  0.077 24.245   51.4  0.310  164.6 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
25    ESO146-014  bz      2 4 |    -      -    |B    0.081 17.674    5.7  0.322   46.7  0.358 |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.919 22.722   28.8  6.678   49.2 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
26    ESO149-001  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 13.168   28.4  0.250   27.7 22.433 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
27    ESO149-003  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 15.462   15.5  0.329  147.6 23.411 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
28    ESO150-005  dd      2 5 |    -      -    |      -      -      -      -      -      -    |D    0.963 13.569   34.6  0.821   12.2 23.261 |D    0.037 23.047   15.9  0.834   78.9 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
29    ESO154-023  d       1 3 |    -      -    |      -      -      -      -      -      -    |D    1.000 12.455   95.5  0.161   39.8 24.350 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
30    ESO157-049  zzn     3 4 |N  0.012 17.424 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.448 20.239   12.6  6.194   29.3 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.540 18.029    8.9  1.383   30.6 
31    ESO159-025  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 14.843   17.6  0.788   71.6 23.067 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
32    ESO187-035  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 15.319   15.4  0.556  127.4 23.251 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
33    ESO187-051  d       1 4 |    -      -    |      -      -      -      -      -      -    |D    1.000 14.396   39.5  0.324    8.5 24.377 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
34    ESO202-035  bz      2 4 |    -      -    |B    0.309 13.674   28.8  0.166  129.8  4.459 |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.692 19.500   15.1  4.683  135.2 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
35    ESO202-041  dbar    2 4 |    -      -    |      -      -      -      -      -      -    |D    0.872 15.423   16.5  0.680  154.5 23.512 |BAR  0.128 23.430   33.5  0.194  168.6 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
36    ESO234-043  dbarn   3 4 |N  0.007 19.404 |      -      -      -      -      -      -    |D    0.862 13.996   28.8  0.669   91.3 23.291 |BAR  0.131 22.537   36.8  0.244   52.8 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
