objname,ra2000,de2000,t,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist_best
NGC1437B,56.47875,-36.35695,8.3,Sd,1.46,2.8840317564502844,13.83,90.0,1497.0,1423.0,19.429273621,8.68,1496,20.425996723102124,10.28016496781011,10.2801649678
NGC1460,56.5572,-36.6964,-1.9,S0,1.28,1.9054605924362857,13.48,37.1,1373.0,1295.0,17.681594757,21.02,1341,18.309666848716546,19.67884803175559,19.6788480318
ESO358-063,56.5791,-34.94359,6.9,Scd,1.63,4.265795141179281,12.61,75.6,1929.0,1868.0,25.5051884216,18.98,1930,26.35172037138174,16.826734107485976,16.8267341075
IC0342,56.7054,68.10139,6.0,SABc,2.3,19.952620958974435,9.67,18.5,31.0,279.0,3.80939377389,3.06,25,0.3413435281267068,3.435581470679965,3.43558147068
ESO358-066,56.96939999999999,-36.47167,-3.8,E,1.04,1.0964780998322172,15.15,90.0,1856.0,1793.0,24.4811578372,19.74,1493,20.38503549972691,19.769696574769,19.7696965748
ESO359-002,57.65295,-35.90937,-3.4,E-S0,1.1,1.2589254809065389,14.23,65.3,1430.0,1354.0,18.4871654833,17.03,1430,19.52484980884762,19.14256210862216,19.1425621086
NGC1481,58.620749999999994,-20.42722,-3.0,E-S0,1.01,1.0232929698100972,14.56,51.3,1807.0,1744.0,23.8121245221,,1728,23.593664664117956,,23.8121245221
NGC1482,58.662150000000004,-20.50232,-0.8,S0-a,1.39,2.4547088348300035,13.09,63.2,1916.0,1853.0,25.3003823048,19.6,1860,25.395958492626967,,19.6
ESO549-035,58.76625,-20.38338,6.0,Sc,1.01,1.0232929698100972,15.43,45.9,1778.0,1716.0,23.4298197706,39.0,1817,24.80884762424903,38.904528168399445,38.9045281684
NGC1510,60.886050000000004,-43.40009,-1.6,S0,1.12,1.3182567530303144,13.47,35.7,913.0,803.0,10.9639541234,11.0,928,12.67067176406335,,11.0
NGC1512,60.97605000000001,-43.3488,1.1,Sa,1.93,8.511379354058503,11.10,68.3,898.0,787.0,10.7454942654,12.2,897,12.247405789186235,12.022642234116693,12.0226422341
NGC1566,65.00160000000001,-54.93781,4.0,SABb,1.86,7.24435983937001,10.29,47.9,1504.0,1413.0,19.2927362097,9.84,1502,20.50791916985253,6.137621561150494,6.13762156115
UGC03016,65.33325,36.76014,5.9,Sc,1.05,1.1220183311090417,16.43,90.0,5897.0,5806.0,79.2736209721,30.05,2458,33.5608956854178,,30.05
NGC1569,67.7049,64.84816,9.6,IB,1.59,3.8904517489515147,11.79,66.5,-104.0,102.0,1.39268159476,2.9,-95,,3.206269634296235,3.2062696343
IC2085,67.851,-54.41687,-1.2,S0-a,1.39,2.4547088348300035,13.95,90.0,982.0,854.0,11.6602949208,15.07,986,13.462588749317309,,15.07
NGC1617,67.9149,-54.60201,1.1,SBa,1.72,5.248074948227709,11.18,68.4,1063.0,940.0,12.8345166576,13.4,1066,14.554888039322776,,13.4
ESO157-047,69.8301,-54.21068,0.0,S0-a,1.1,1.2589254809065389,15.46,90.0,1655.0,1574.0,21.4909885309,,1657,22.62424904423811,,21.4909885309
ESO157-049,69.9036,-53.01267,5.3,Sc,1.24,1.7378008669100269,14.35,78.4,1678.0,1599.0,21.832332059,23.16,1673,22.842708902239202,23.659200923332683,23.6592009233
NGC1705,73.5564,-53.36097,-2.7,E-S0,1.27,1.8620870548831208,12.79,48.4,633.0,472.0,6.44456581103,5.34,628,8.574549426542868,5.727965240483927,5.72796524048
NGC1800,76.6071,-31.95411,8.0,S?,1.19,1.5488168229767911,13.12,47.0,807.0,707.0,9.65319497542,7.71,801,10.936646641179681,,7.71
NGC1808,76.9263,-37.51296,1.2,Sa,1.73,5.370318199557904,10.83,83.9,995.0,894.0,12.2064445658,10.39,1002,13.6810486073184,12.302692030632102,12.3026920306
