objname,ra2000,de2000,t,type,v,logd25,d25,bt,incl,col10,_r,_RAJ2000,_DEJ2000,WISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cntr,snr1,chi2W1,snr2,chi2W2,snr3,chi2W3,snr4,chi2W4,nb,na,sat1,sat2,sat3,sat4,ccf,ex,var,nW1,mW1,nW2,mW2,nW3,mW3,nW4,mW4,2Mkey,d2M
NGC1460,56.5572,-36.6964,-1.9,S0,1341,1.28,1.9054605924362857,13.48,37.1,,3.7E-5,56.557172,-36.696429,J034613.72-364147.1,56.557172,-36.696429,0.079,0.074,21,11.47,0.023,11.578,0.022,11.146,0.061,9.385,,14.069,0.121,13.495,0.167,12.973,0.093,559036401241016413,47.3,58.2,50.1,19.3,17.8,1.16,1.2,1.0,1,0,0.0,0.0,0.0,0.0,0000,5,910n,11,50,50,50,50,15,49,0,620051318,0.248
NGC1481,58.620749999999994,-20.42722,-3.0,E-S0,1728,1.01,1.0232929698100972,14.56,51.3,,8.2E-5,58.620716,-20.427144,J035428.97-202537.7,58.620716,-20.427144,0.064,0.062,160,11.703,0.023,11.643,0.022,7.83,0.017,5.712,0.034,14.731,0.158,14.061,0.157,13.639,0.143,592019701241006666,46.5,27.4,50.4,9.54,65.2,5.65,32.0,1.19,1,0,0.0,0.0,0.0,0.0,0000,5,3000,0,15,15,15,15,15,15,15,198700151,1.482
NGC1482,58.662150000000004,-20.50232,-0.8,S0-a,1860,1.39,2.4547088348300035,13.09,63.2,,1.86E-4,58.662297,-20.502195,J035438.95-203007.9,58.662297,-20.502195,0.051,0.05,143,8.452,0.023,8.023,0.02,3.624,0.015,0.971,0.014,12.154,0.133,11.062,0.127,10.287,0.099,581021301241033104,47.4,51.3,55.3,39.3,73.7,36.4,80.2,8.72,1,0,0.0,0.0,0.0,0.0,0000,5,9390,0,16,16,16,16,16,16,16,198700272,0.662
NGC1510,60.886050000000004,-43.40009,-1.6,S0,928,1.12,1.3182567530303144,13.47,35.7,,2.15E-4,60.886256,-43.399935,J040332.70-432359.7,60.886256,-43.399935,0.055,0.052,167,11.678,0.022,11.548,0.021,7.836,0.015,4.544,0.02,14.135,0.124,13.667,0.165,13.206,0.103,603044001241040677,48.4,40.7,52.7,13.0,71.3,6.12,53.3,2.3,1,0,0.0,0.0,0.0,0.0,0000,5,4111,0,53,53,53,53,50,50,51,571717702,0.926
NGC1512,60.97605000000001,-43.3488,1.1,Sa,897,1.93,8.511379354058503,11.10,68.3,,2.8E-4,60.975665,-43.348794,J040354.15-432055.6,60.975665,-43.348794,0.053,0.051,170,9.437,0.022,9.387,0.019,6.513,0.015,4.391,0.021,12.33,0.136,11.587,0.165,11.042,0.086,603044001241040667,49.7,79.6,57.7,54.0,74.7,63.5,50.6,15.3,1,0,0.0,0.0,0.0,0.0,0000,5,9899,0,54,54,54,54,52,52,52,571717802,0.506
NGC1566,65.00160000000001,-54.93781,4.0,SABb,1502,1.86,7.24435983937001,10.29,47.9,,1.54E-4,65.001609,-54.937964,J042000.38-545616.6,65.001609,-54.937964,0.054,0.05,179,8.865,0.023,8.536,0.019,5.691,0.015,3.32,0.017,11.73,0.107,10.913,0.125,10.398,0.085,638054601241018267,47.7,43.3,55.7,20.7,72.6,7.68,64.0,4.06,1,0,0.0,0.0,0.0,0.0,h0h0,5,9999,0,69,69,69,69,67,67,67,869482982,0.181
NGC1569,67.7049,64.84816,9.6,IB,-95,1.59,3.8904517489515147,11.79,66.5,,0.001242,67.702355,64.84877,J043048.56+645055.5,67.702355,64.84877,0.064,0.063,158,9.597,0.025,9.265,0.02,5.876,0.015,3.541,0.053,,,,,,,664165101241018465,43.7,72.9,53.3,55.5,70.7,62.4,20.3,113.0,3,0,0.0,0.0,0.0,0.0,hhdH,5,999n,0,17,17,17,17,17,17,11,0,
NGC1617,67.9149,-54.60201,1.1,SBa,1066,1.72,5.248074948227709,11.18,68.4,,4.39E-4,67.914156,-54.602095,J043139.39-543607.5,67.914156,-54.602095,0.058,0.056,30,8.935,0.022,8.972,0.019,8.043,0.015,6.693,0.035,11.628,0.112,10.952,0.14,10.56,0.098,689054601241028744,48.3,57.2,56.7,40.9,72.8,9.0,31.0,1.28,1,0,0.0,0.0,0.0,0.0,0000,5,9921,0,91,91,91,91,86,86,55,665593517,0.114
NGC1705,73.5564,-53.36097,-2.7,E-S0,628,1.27,1.8620870548831208,12.79,48.4,,1.1E-4,73.556251,-53.361034,J045413.50-532139.7,73.556251,-53.361034,0.065,0.064,12,11.343,0.022,11.199,0.02,9.215,0.021,6.622,0.042,13.15,0.059,12.461,0.067,12.248,0.054,739053101241011539,48.3,26.4,53.8,9.7,51.3,1.88,25.9,2.71,1,0,0.0,0.0,0.0,0.0,0000,5,3100,0,42,42,42,42,41,41,28,703147597,0.565
NGC1800,76.6071,-31.95411,8.0,S?,801,1.19,1.5488168229767911,13.12,47.0,,5.06E-4,76.606506,-31.95406,J050625.56-315714.6,76.606506,-31.95406,0.044,0.039,150,11.944,0.025,11.937,0.024,9.385,0.031,7.1,0.092,13.785,,14.453,0.255,12.987,,758031901241018185,43.6,50.7,44.5,18.6,35.6,4.21,11.8,1.69,2,0,0.0,0.0,0.0,0.0,0000,5,1001,11,19,19,19,19,17,17,6,243564420,1.403
NGC1808,76.9263,-37.51296,1.2,Sa,1002,1.73,5.370318199557904,10.83,83.9,,2.67E-4,76.926636,-37.512975,J050742.39-373046.7,76.926636,-37.512975,0.043,0.042,70,7.456,0.023,7.052,0.02,2.151,0.009,-0.627,0.014,11.024,0.127,10.234,0.177,9.582,0.124,776037901241026779,48.1,59.6,54.5,49.4,116.4,27.9,78.0,24.1,1,0,0.0,0.0,0.103,0.0,dd00,5,9999,11,42,42,42,42,41,41,41,208819795,1.022
NGC1924,82.0083,-5.31064,4.0,SBbc,2541,1.2,1.58489336647576,13.26,45.8,,1.9E-5,82.008289,-5.310624,J052801.98-051838.2,82.008289,-5.310624,0.056,0.055,18,10.706,0.023,10.601,0.019,6.764,0.016,3.526,0.023,13.588,0.103,12.787,0.11,12.266,0.077,820006101241038826,47.2,58.1,56.1,28.1,67.0,9.25,46.4,5.91,1,0,0.0,0.0,0.0,0.0,0000,5,9015,0,13,13,13,13,13,13,13,134036408,0.143
NGC2110,88.04745,-7.45607,-3.0,E-S0,2312,1.26,1.819700818650877,13.50,46.4,,1.61E-4,88.047404,-7.456224,J055211.37-072722.4,88.047404,-7.456224,0.026,0.024,145,8.218,0.022,7.464,0.021,4.829,0.015,2.548,0.016,11.93,0.104,11.066,0.113,10.149,0.058,884007601241023515,50.2,14.6,51.2,2.56,73.0,2.04,65.9,0.759,1,0,0.0,0.0,0.0,0.0,0000,5,1110,0,13,13,13,13,12,12,12,143304095,0.069
NGC2146,94.6569,78.35693,2.3,SBab,896,1.73,5.370318199557904,10.53,37.4,,4.95E-4,94.658564,78.356567,J061838.05+782123.6,94.658564,78.356567,0.023,0.021,34,7.652,0.021,7.076,0.02,1.894,0.01,-0.629,0.016,11.095,,10.284,0.062,9.122,0.029,936178701241014818,50.7,104.0,55.5,80.2,113.3,104.0,66.6,36.2,1,0,0.0,0.0,0.097,0.0,0000,5,9999,0,15,15,15,15,10,10,13,563377278,1.246
NGC2207,94.09185,-21.37271,4.6,SABc,2748,1.69,4.89778883899247,12.14,58.2,,6.1E-5,94.091865,-21.372651,J061622.04-212221.5,94.091865,-21.372651,0.068,0.067,15,9.575,0.023,9.532,0.021,7.717,0.023,6.168,0.068,12.152,0.106,11.453,0.133,10.779,0.06,936021301241015888,47.9,38.2,51.5,21.5,47.0,8.1,16.0,2.13,3,0,0.0,0.0,0.0,0.0,0000,5,9581,0,17,17,17,17,16,16,9,235905719,0.283
NGC2273,102.53655,60.84584,0.9,Sa,1848,1.36,2.290867728226077,12.62,57.4,,2.74E-4,102.535992,60.845808,J065008.63+605044.9,102.535992,60.845808,0.026,0.025,137,9.223,0.023,8.579,0.02,4.855,0.015,2.135,0.016,11.954,0.073,11.077,0.075,10.579,0.045,1020160501241032308,47.4,25.9,54.1,10.9,71.5,4.48,69.8,1.46,1,0,0.0,0.0,0.0,0.0,0000,5,9100,33,24,24,24,24,20,20,23,534870875,0.164
NGC2403,114.2142,65.60242,6.0,SABc,141,2.3,19.952620958974435,8.82,61.3,,0.002496,114.209146,65.601052,J073650.19+653603.7,114.209146,65.601052,0.154,0.147,100,11.717,0.037,11.522,0.037,9.411,0.123,7.903,,14.648,0.097,13.792,0.092,13.6,0.071,1153165101241040118,29.6,26.7,29.1,13.4,8.8,1.75,1.5,1.36,3,0,0.0,0.0,0.0,0.0,h0PP,3,11nn,0,17,17,17,17,2,17,0,533307841,0.637
NGC2480,119.2935,23.77976,8.0,SBd,2342,1.12,1.3182567530303144,14.98,90.0,,1.16E-4,119.293598,23.779687,J075710.46+234646.8,119.293598,23.779687,0.073,0.069,111,12.586,0.023,12.334,0.026,8.196,0.02,5.328,0.034,15.473,0.118,14.046,,13.592,,1188124201241012382,47.2,29.2,41.9,5.95,54.0,3.49,32.2,1.38,1,0,0.0,0.0,0.0,0.0,0000,5,0111,0,11,11,11,11,11,11,11,1316871147,0.521
NGC2481,119.30715,23.76767,0.2,S0-a,2182,1.13,1.348962867780606,13.63,77.5,,1.9E-4,119.307307,23.767795,J075713.75+234604.0,119.307307,23.767795,0.068,0.064,144,9.605,0.02,9.605,0.019,8.803,0.026,7.139,0.093,11.798,0.071,11.012,0.076,11.026,0.082,1188124201241012340,53.1,38.3,56.3,21.8,42.0,1.46,11.7,1.06,1,0,0.0,0.0,0.0,0.0,0000,5,7610,0,12,12,12,12,12,12,9,1316871171,0.115
NGC2549,124.74315,57.80308,-2.0,S0,1076,1.56,3.6307800693276415,12.11,90.0,,1.2E-4,124.74316,57.8032,J081858.35+574811.5,124.74316,57.8032,0.067,0.064,134,8.94,0.022,8.941,0.02,8.333,0.021,6.957,0.078,11.062,0.05,10.213,0.046,9.619,0.032,1246157501241028923,49.8,50.0,53.4,34.6,52.8,4.0,14.0,1.03,1,0,0.0,0.0,0.0,0.0,0000,5,9310,0,13,13,13,13,13,13,10,531748743,0.483
NGC2577,125.68110000000001,22.55303,-3.0,E-S0,2112,1.19,1.5488168229767911,13.43,76.8,,9.7E-5,125.681073,22.553124,J082243.45+223311.2,125.681073,22.553124,0.033,0.031,173,9.771,0.022,9.822,0.019,8.71,0.024,7.172,0.099,11.876,0.056,11.172,0.069,11.004,0.064,1254122701241012074,49.4,44.9,56.5,27.5,46.0,1.85,10.9,1.13,1,0,0.0,0.0,0.0,0.0,0000,5,8301,-24,17,17,17,17,17,17,6,209296777,0.359
NGC2592,126.78359999999999,25.97033,-4.8,E,2046,1.17,1.4791082420082973,13.61,51.2,,3.6E-5,126.783598,25.970366,J082708.06+255813.3,126.783598,25.970366,0.07,0.068,157,9.679,0.022,9.741,0.021,9.133,0.028,8.176,0.249,11.4,0.03,10.702,0.025,10.369,0.031,1266125701241026334,48.3,32.7,52.0,18.9,38.5,1.38,4.4,0.968,1,0,0.0,0.0,0.0,0.0,0000,5,211n,0,17,17,17,17,17,17,2,201940564,0.065
NGC2655,133.9101,78.22342,0.1,S0-a,1385,1.59,3.8904517489515147,10.98,66.2,,3.52E-4,133.908453,78.223316,J085538.02+781323.9,133.908453,78.223316,0.054,0.052,87,8.54,0.022,8.458,0.021,6.385,0.014,4.3,0.023,10.379,0.029,9.549,0.028,9.396,0.029,1368178701241007354,49.0,62.0,52.9,33.8,77.8,11.0,47.7,1.46,1,0,0.0,0.0,0.0,0.0,d000,5,9341,0,22,22,22,22,21,21,21,561865162,0.291
NGC2679,132.88725,30.86535,-1.9,S0,2035,1.27,1.8620870548831208,13.99,0.0,,2.5E-5,132.887265,30.865372,J085132.94+305155.3,132.887265,30.865372,0.04,0.038,154,10.744,0.023,10.86,0.022,10.078,0.069,8.471,0.35,12.762,0.066,12.236,0.087,11.79,0.062,1321130201241028951,48.0,36.1,48.8,12.9,15.8,1.31,3.1,0.876,1,0,0.0,0.0,0.0,0.0,0000,5,601n,-7,26,26,18,18,8,9,1,812516846,0.109
NGC2685,133.89465,58.7341,-1.0,S0-a,877,1.64,4.36515817861883,12.16,68.7,,3.88E-4,133.894773,58.734483,J085534.74+584404.1,133.894773,58.734483,0.066,0.064,136,9.418,0.022,9.402,0.02,8.403,0.019,6.971,0.076,11.694,0.087,11.056,0.086,10.789,0.083,1324159001241014106,48.4,55.8,55.1,37.5,56.1,6.37,14.2,1.12,1,0,0.0,0.0,0.0,0.0,0000,5,9511,0,15,15,15,15,15,15,10,980861236,0.397
NGC2764,137.0727,21.44324,-1.8,S0,2719,1.06,1.14815347022194,13.65,66.3,,3.42E-4,137.073043,21.443363,J090817.53+212636.1,137.073043,21.443363,0.053,0.051,109,10.23,0.021,10.022,0.019,5.922,0.014,3.613,0.022,13.265,0.085,12.846,0.139,12.274,0.104,1372121201241023849,50.8,66.4,57.1,35.2,80.2,32.1,49.0,8.43,1,0,0.0,0.0,0.0,0.0,0000,5,9733,0,13,13,13,13,13,13,13,860417035,0.301
NGC2768,137.9061,60.03725,-4.5,E,1398,1.75,5.623413251903491,10.82,90.0,,1.8E-4,137.906061,60.037429,J091137.45+600214.7,137.906061,60.037429,0.064,0.062,133,8.997,0.023,9.023,0.019,8.014,0.017,6.655,0.055,11.313,0.057,10.427,0.051,10.447,0.055,1380160501241003175,47.1,72.7,56.2,55.5,62.1,6.46,19.7,1.11,1,0,0.0,0.0,0.0,0.0,0000,5,9511,0,16,16,16,16,16,16,16,887407286,0.445
NGC2778,138.1017,35.02742,-4.8,E,2030,1.11,1.288249594126457,13.35,62.7,,1.81E-4,138.101647,35.027596,J091224.39+350139.3,138.101647,35.027596,0.071,0.066,154,10.208,0.021,10.3,0.019,9.742,0.044,8.389,0.26,12.032,0.036,11.256,0.033,11.014,0.029,1388134801241021600,50.5,40.0,55.8,18.4,24.5,1.22,4.2,1.1,1,0,0.0,0.0,0.0,0.0,0000,5,211n,111,13,13,13,13,13,13,1,205626426,0.376
NGC2787,139.82685,69.20331,-1.0,S0-a,697,1.51,3.2359364982378263,11.60,66.1,,3.0E-4,139.827681,69.203255,J091918.64+691211.7,139.827681,69.203255,0.059,0.058,165,8.562,0.023,8.576,0.019,7.244,0.016,6.145,0.044,10.613,0.035,9.649,0.031,9.34,0.028,1381169601241015283,46.8,69.1,57.0,53.1,69.8,15.6,24.8,1.42,1,0,0.0,0.0,0.0,0.0,0000,5,3930,0,18,18,18,18,16,16,16,584698640,0.315
NGC2798,139.34505,41.99907,1.1,SBa,1740,1.39,2.4547088348300035,13.02,83.4,,0.001003,139.345281,42.000058,J091722.86+420000.2,139.345281,42.000058,0.052,0.048,111,9.2,0.022,8.763,0.02,4.343,0.015,1.367,0.016,11.475,0.025,10.557,0.02,10.131,0.021,1395142401241010777,49.6,31.1,55.1,16.7,73.8,13.7,67.6,1.92,1,0,0.0,0.0,0.0,0.0,0000,5,1112,33,11,11,11,11,10,10,11,234914139,0.416
NGC2799,139.3791,41.99416,8.8,SBm,1859,1.25,1.778279410038923,14.89,90.0,,5.43E-4,139.379754,41.993917,J091731.14+415938.1,139.379754,41.993917,0.072,0.07,128,12.116,0.023,12.034,0.023,8.376,0.021,5.978,0.046,13.966,,13.306,,13.872,0.074,1395142401241010796,48.2,46.3,46.3,12.9,51.1,6.3,23.8,1.48,1,0,0.0,0.0,0.0,0.0,00dh,5,1100,33,11,11,11,11,11,11,11,234914156,2.144
NGC2841,140.51025,50.97683,3.0,Sb,636,1.84,6.918310240910394,10.06,65.2,,5.93E-4,140.511149,50.976652,J092202.67+505835.9,140.511149,50.976652,0.062,0.061,143,8.252,0.022,8.306,0.018,7.476,0.022,5.977,0.051,10.731,0.065,10.0,0.078,9.806,0.075,1406151401241003344,50.4,72.2,59.1,49.3,49.2,6.43,21.3,1.5,1,0,0.0,0.0,0.0,0.0,0000,5,9233,33,18,18,18,18,17,17,11,477157866,0.352
NGC2853,140.82225,40.20008,-0.9,S0-a,1783,1.22,1.6595870167669808,14.46,63.7,,1.66E-4,140.822463,40.200114,J092317.39+401200.4,140.822463,40.200114,0.078,0.076,97,12.098,0.024,12.125,0.024,8.745,0.025,6.785,0.071,15.012,0.158,14.277,0.174,14.024,0.134,1404140801241001460,45.2,49.6,45.0,12.7,43.3,5.53,15.2,1.38,1,0,0.0,0.0,0.0,0.004,0000,5,1011,0,13,13,13,13,13,13,10,585685655,0.471
NGC2859,141.07725000000002,34.51336,-1.2,S0-a,1686,1.5,3.1622776601683795,11.87,32.9,,2.09E-4,141.077278,34.513568,J092418.54+343048.8,141.077278,34.513568,0.066,0.063,165,9.027,0.022,9.04,0.019,8.329,0.021,7.058,0.089,10.944,0.037,10.653,0.077,10.08,0.04,1407134801241013287,48.3,55.9,56.5,38.8,52.7,5.83,12.1,1.12,1,0,0.0,0.0,0.0,0.0,0000,5,9000,0,11,11,11,11,11,11,8,491550441,0.5
NGC2907,142.9026,-16.73466,1.0,Sa,2070,1.45,2.818383240711117,12.70,46.4,,6.8E-5,142.902612,-16.734727,J093136.62-164405.0,142.902612,-16.734727,0.064,0.062,160,9.119,0.023,9.114,0.021,7.76,0.017,6.115,0.045,11.661,0.097,10.844,0.119,10.442,0.089,1430016701241020970,47.1,45.0,52.6,28.3,63.8,4.61,24.4,1.27,1,0,0.0,0.0,0.0,0.0,0000,5,9111,11,14,14,14,14,13,13,13,1317023474,0.229
NGC2915,141.5493,-76.62644,1.6,SBab,465,1.26,1.819700818650877,13.19,62.2,,8.52E-4,141.551364,-76.627146,J092612.32-763737.7,141.551364,-76.627146,0.092,0.083,124,11.748,0.026,11.697,0.024,10.046,0.037,7.459,0.1,15.544,0.221,13.201,,12.998,,1414077301241046111,41.2,51.9,44.5,19.6,29.0,1.86,10.8,1.35,2,0,0.0,0.0,0.0,0.0,0000,5,6111,0,35,35,35,35,30,34,5,775389844,0.805
NGC2950,145.64625,58.85119,-2.0,S0,1329,1.42,2.630267731982223,11.93,61.9,,1.64E-4,145.646475,58.851305,J094235.15+585104.6,145.646475,58.851305,0.062,0.06,157,8.659,0.022,8.695,0.019,7.946,0.017,6.721,0.064,10.756,0.055,9.908,0.056,9.807,0.061,1468159001241008283,49.2,36.8,57.1,29.4,62.4,6.01,17.1,1.06,1,0,0.0,0.0,0.0,0.0,0000,5,2100,0,14,14,14,14,14,14,11,498210003,0.049
NGC2974,145.6386,-3.69876,-4.3,E,1891,1.54,3.4673681999632944,11.88,90.0,,4.1E-4,145.638794,-3.699121,J094233.31-034156.8,145.638794,-3.699121,0.061,0.06,81,8.81,0.022,8.813,0.021,7.576,0.016,5.867,0.039,11.343,0.091,10.769,0.137,10.118,0.062,1452003101241001513,49.4,62.2,51.6,35.5,68.5,7.37,27.8,1.2,1,0,0.0,0.0,0.0,0.0,dd00,5,9200,87,11,11,11,11,11,11,11,199831609,0.337
NGC2976,146.81459999999998,67.91626,5.2,Sc,5,1.76,5.754399247009779,10.81,60.5,,6.66E-4,146.813516,67.916787,J094715.24+675500.4,146.813516,67.916787,0.075,0.069,73,11.618,0.031,11.47,0.026,7.694,0.018,4.943,0.03,15.088,0.08,14.229,0.088,13.92,0.088,1463168101241012597,35.5,55.5,41.6,26.1,61.5,18.7,36.5,5.8,2,0,0.0,0.0,0.0,0.0,0000,5,6293,0,17,17,17,17,16,16,16,569338512,0.602
NGC2992,146.4252,-14.32638,0.9,Sa,2310,1.47,2.9512094210846427,13.06,90.0,,3.88E-4,146.424815,-14.326273,J094541.95-141934.5,146.424815,-14.326273,0.027,0.027,128,9.03,0.023,8.626,0.019,5.017,0.015,2.351,0.022,12.095,0.093,11.209,0.113,10.412,0.054,1458013701241000005,46.2,33.3,58.7,17.3,73.9,14.0,49.8,1.35,1,0,0.0,0.0,0.0,0.0,0000,5,9231,-123,20,20,20,20,11,11,13,1214869917,0.241
NGC2993,146.4513,-14.36838,1.2,Sa,2422,1.13,1.348962867780606,13.11,35.8,,1.93E-4,146.451454,-14.368257,J094548.34-142205.7,146.451454,-14.368257,0.028,0.026,131,10.162,0.022,9.727,0.019,4.959,0.015,1.986,0.02,13.398,0.121,12.824,0.157,12.4,0.096,1458013701241000012,49.9,61.1,58.0,35.7,70.2,26.2,55.4,7.28,1,0,0.0,0.0,0.0,0.007,0000,5,4349,-123,18,18,18,18,10,10,12,1214869861,0.324
NGC3031,148.88805,69.06544,2.4,Sab,-38,2.33,21.37961713919407,7.79,62.7,,9.5E-5,148.88829,69.065398,J095533.18+690355.4,148.88829,69.065398,0.053,0.051,93,6.462,0.024,6.765,0.02,5.089,0.014,2.97,0.022,9.642,0.08,8.961,0.112,8.434,0.071,1507169601241006497,45.7,71.9,55.4,46.2,76.5,16.4,49.1,4.03,1,0,0.041,0.0,0.0,0.0,0000,5,9172,0,19,19,19,19,18,18,18,574677132,0.416
NGC3034,148.96800000000002,69.67977,7.5,Scd,231,2.04,10.964780998322171,8.94,76.9,,9.72E-4,148.965229,69.679633,J095551.65+694046.6,148.965229,69.679633,0.001,0.001,45,4.11,0.09,3.526,0.028,-2.005,0.239,-4.248,0.001,9.621,,9.114,0.121,8.17,0.089,1507169601241023075,12.1,9.19,39.3,79.5,4.5,0.228,1700.7,7760.0,1,0,0.157,0.102,0.303,0.264,hhhh,5,90nn,0,19,20,20,20,16,19,19,574678354,2.853
NGC3049,148.70685,9.27136,2.5,SBb,1478,1.32,2.089296383189619,13.67,58.1,,2.03E-4,148.706648,9.27132,J095449.59+091616.7,148.706648,9.27132,0.055,0.052,113,11.34,0.022,11.058,0.022,6.509,0.014,3.37,0.02,14.416,0.123,13.81,0.162,13.106,0.097,1485109001241024584,48.6,50.6,48.9,14.6,75.5,8.46,55.1,1.71,1,0,0.0,0.0,0.0,0.0,0000,5,0000,0,11,11,11,11,10,10,11,855278420,1.229
NGC3073,150.2169,55.61892,-2.8,E-S0,1202,1.08,1.20226455342066,14.11,31.8,,1.19E-4,150.216993,55.618813,J100052.07+553707.7,150.216993,55.618813,0.072,0.072,122,11.654,0.023,11.665,0.022,9.025,0.024,7.497,0.103,13.887,0.105,13.423,0.102,12.998,0.082,1493156001241014557,46.8,32.8,49.9,9.78,44.5,2.68,10.5,0.992,1,0,0.0,0.0,0.0,0.0,0000,5,1100,21,19,19,19,19,19,19,6,1064720605,0.151
NGC3077,150.82845,68.734,7.2,S?,-8,1.72,5.248074948227709,10.63,38.1,,6.39E-4,150.829912,68.733643,J100319.17+684401.1,150.829912,68.733643,0.048,0.046,81,9.699,0.022,9.312,0.021,5.016,0.013,1.844,0.015,13.116,0.089,12.163,0.078,11.519,0.046,1503168101241034218,49.4,81.1,52.2,42.0,82.4,40.0,74.2,20.0,1,0,0.0,0.0,0.0,0.0,0000,5,9391,0,17,17,17,17,16,16,16,547945320,0.818
NGC3079,150.49095,55.67982,6.6,SBcd,1123,1.91,8.128304536923304,11.41,90.0,,6.4E-5,150.49093,55.679883,J100157.82+554047.5,150.49093,55.679883,0.053,0.049,114,8.385,0.022,7.885,0.02,4.077,0.016,1.946,0.015,11.915,0.059,10.586,0.063,9.645,0.033,1493156001241014541,48.5,49.2,54.8,34.9,68.7,36.2,71.4,26.0,1,0,0.0,0.0,0.0,0.0,00h0,5,9499,21,15,15,15,15,15,15,15,562455575,0.22
NGC3081,149.87294999999997,-22.82636,0.0,S0-a,2363,1.43,2.6915344788557576,12.89,59.8,,1.6E-4,149.873114,-22.826308,J095929.54-224934.7,149.873114,-22.826308,0.056,0.053,112,9.691,0.024,9.098,0.021,5.186,0.015,2.363,0.022,12.565,0.106,11.977,0.135,11.431,0.088,1498022801241021567,45.9,37.6,52.7,13.7,73.0,6.32,50.0,0.957,1,0,0.0,0.0,0.0,0.0,0000,5,9120,0,17,17,17,17,16,16,16,1264404743,0.143
NGC3147,154.2237,73.40073,3.9,Sbc,2814,1.61,4.073802912227076,11.26,31.2,,5.0E-5,154.223847,73.400758,J101653.72+732402.7,154.223847,73.400758,0.056,0.054,107,8.954,0.023,8.876,0.019,6.653,0.015,4.352,0.025,11.026,0.037,10.11,0.032,9.808,0.026,1556172601241040453,47.0,49.2,55.8,31.6,70.5,29.9,43.9,23.7,1,0,0.0,0.0,0.0,0.0,0000,5,9189,0,20,20,20,20,20,20,20,570140247,0.05
NGC3155,154.41615,74.34739,3.5,Sbc,2944,1.08,1.20226455342066,14.10,61.3,,1.9E-4,154.416325,74.347574,J101739.91+742051.2,154.416325,74.347574,0.069,0.066,78,11.856,0.024,11.843,0.023,8.198,0.018,6.288,0.043,13.736,,13.682,0.114,12.815,,1535174201241019263,46.0,53.7,46.5,16.3,60.5,11.9,25.1,1.69,1,0,0.0,0.0,0.0,0.0,0000,5,6110,0,20,20,20,20,20,20,18,570141835,0.429
NGC3182,154.8876,58.20579,0.5,Sa,2101,1.28,1.9054605924362857,13.07,36.5,,3.5E-5,154.887635,58.20576,J101933.03+581220.7,154.887635,58.20576,0.064,0.063,22,10.443,0.023,10.5,0.021,8.149,0.018,6.347,0.05,12.267,0.031,11.546,0.036,11.469,0.039,1550157501241034472,46.5,47.8,52.0,26.3,61.8,14.0,21.6,1.38,1,0,0.0,0.0,0.0,0.0,0000,5,6100,0,17,17,17,17,17,17,14,522753100,0.321
NGC3184,154.5708,41.42436,5.9,SABc,592,1.87,7.413102494401937,10.41,14.4,,1.9E-4,154.570565,41.42429,J101816.93+412527.4,154.570565,41.42429,0.065,0.062,106,10.941,0.023,10.855,0.022,7.375,0.019,4.667,0.031,13.289,0.039,12.704,0.044,12.526,0.049,1542140801241031317,47.1,52.3,50.1,19.8,56.3,4.62,35.6,1.03,1,0,0.0,0.0,0.0,0.0,0000,5,2008,0,13,13,13,13,13,13,13,204979202,0.051
NGC3185,154.41075,21.68832,1.2,Sa,1237,1.33,2.1379623007676005,12.94,60.1,,6.2E-5,154.410712,21.688269,J101738.57+214117.7,154.410712,21.688269,0.056,0.054,105,10.501,0.023,10.349,0.021,6.904,0.015,4.599,0.024,12.648,0.044,11.906,0.045,11.589,0.038,1549121201241035357,47.6,34.1,52.4,14.2,72.2,2.57,46.0,1.12,1,0,0.0,0.0,0.0,0.0,0000,5,1100,87,13,13,13,13,13,13,13,157982964,0.241
NGC3187,154.44930000000002,21.87333,5.0,SBc,1582,1.35,2.238721261469447,13.76,74.6,,1.68E-4,154.449122,21.873359,J101747.78+215224.0,154.449122,21.873359,0.094,0.09,125,12.951,0.027,12.885,0.03,9.215,0.03,6.717,0.073,15.635,0.106,15.11,0.121,14.866,0.127,1549121201241035375,40.3,26.0,36.3,5.7,35.9,2.9,14.9,1.5,2,0,0.0,0.0,0.0,0.0,0000,5,0000,87,17,17,17,17,17,17,10,157983251,0.844
NGC3190,154.52625,21.83272,0.9,Sa,1323,1.56,3.6307800693276415,11.88,87.8,,0.002601,154.523497,21.832238,J101805.63+214956.0,154.523497,21.832238,0.056,0.055,128,8.538,0.023,8.49,0.021,6.278,0.015,4.761,0.024,10.669,0.037,10.17,0.059,9.696,0.043,1549121201241033595,46.3,46.8,52.3,31.8,74.4,31.4,45.4,5.65,1,0,0.0,0.0,0.0,0.0,0000,5,9871,87,18,18,18,18,18,18,18,157989971,0.141
