objname,ra2000,de2000,t,type,v,logd25,d25,bt,incl,col10,_r,_RAJ2000,_DEJ2000,WISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cntr,snr1,chi2W1,snr2,chi2W2,snr3,chi2W3,snr4,chi2W4,nb,na,sat1,sat2,sat3,sat4,ccf,ex,var,nW1,mW1,nW2,mW2,nW3,mW3,nW4,mW4,2Mkey,d2M
UGC08412,200.7177,35.15493,5.9,Sc,740,1.01,1.0232929698100972,17.17,78.2,,2.39E-4,200.717984,35.154986,J132252.31+350917.9,200.717984,35.154986,0.154,0.148,75,14.845,0.032,14.734,0.054,12.656,0.298,9.17,,,,,,,,2010134801241027382,34.3,5.96,20.0,1.4,3.6,1.06,1.1,1.03,1,0,0.0,0.0,0.0,0.0,0000,1,00nn,11,31,31,21,31,0,31,0,0,
UGC08630,204.6033,33.11772,5.7,Sc,2409,1.25,1.778279410038923,14.60,80.6,,0.001576,204.601423,33.117612,J133824.34+330703.4,204.601423,33.117612,0.096,0.089,36,13.274,0.024,13.179,0.03,9.581,0.033,6.733,0.055,,,,,,,2051133301241007944,44.4,29.9,35.6,7.16,32.6,4.19,19.8,1.51,2,0,0.0,0.0,0.0,0.0,0000,5,2110,0,17,17,17,17,17,17,16,0,
UGC08662,205.32195,33.7726,5.9,Sc,2026,1.16,1.4454396596536672,15.54,86.3,,2.43E-4,205.322236,33.772652,J134117.33+334621.5,205.322236,33.772652,0.136,0.132,64,14.305,0.03,14.207,0.046,11.331,0.116,8.138,0.177,,,,,,,2051133301241027259,36.0,10.1,23.8,2.26,9.4,1.15,6.1,1.16,1,0,0.0,0.0,0.0,0.0,0000,1,001n,0,17,17,17,17,4,17,1,0,
UGC08693,206.118,35.1927,4.2,Sbc,2442,1.07,1.174897696838254,14.56,63.4,,2.1E-4,206.118223,35.192596,J134428.37+351133.3,206.118223,35.192596,0.083,0.079,134,12.442,0.024,12.489,0.025,9.43,0.03,7.436,0.103,14.952,0.09,14.394,0.109,14.219,0.121,2064134801241025854,45.3,46.9,43.9,11.5,36.7,3.29,10.6,1.25,1,0,0.0,0.0,0.0,0.0,0000,5,1100,0,16,16,16,16,16,16,4,196344299,0.563
UGC08756,207.6495,42.54143,1.2,Sa,1328,1.19,1.5488168229767911,14.54,90.0,,2.29E-4,207.649662,42.541235,J135035.91+423228.4,207.649662,42.541235,0.06,0.06,135,10.822,0.023,10.818,0.02,8.248,0.017,6.286,0.04,13.056,0.079,12.382,0.076,12.031,0.077,2083142401241022712,47.2,37.4,54.9,17.7,63.3,3.76,27.0,1.01,1,0,0.0,0.0,0.0,0.003,0000,5,1100,11,31,31,31,31,28,28,24,1077065872,0.347
UGC08857,209.11095,4.39665,1.0,Sa,1116,1.1,1.2589254809065389,15.26,90.0,,1.6E-4,209.110834,4.39676,J135626.60+042348.3,209.110834,4.39676,0.088,0.083,142,12.732,0.024,12.76,0.026,9.994,0.039,8.388,0.205,15.154,0.138,13.446,,13.36,,2096104501241023796,45.8,19.6,41.7,3.67,27.6,1.08,5.3,1.0,1,0,0.0,0.0,0.0,0.0,0000,5,110n,111,26,26,26,26,26,26,0,863984084,0.937
UGC09242,216.33780000000002,39.53941,6.6,Scd,1466,1.62,4.168693880473867,14.12,90.0,,3.59E-4,216.337986,39.539739,J142521.11+393223.0,216.337986,39.539739,0.12,0.115,71,14.307,0.029,14.096,0.038,10.964,0.066,8.009,0.121,,,,,,,2167139301241027589,37.9,10.1,28.6,1.87,16.5,1.04,8.9,1.05,1,0,0.0,0.0,0.0,0.0,0000,5,000n,0,30,30,30,30,16,28,2,0,
UGC09299,217.39425,-0.01807,6.4,SABc,1550,1.23,1.698243727045763,14.57,69.6,,2.15E-4,217.394393,-0.01823,J142934.65-000105.6,217.394393,-0.01823,0.111,0.108,143,13.761,0.027,13.662,0.036,10.477,0.061,7.934,0.145,,,,,,,2178100001241022195,40.9,19.8,30.5,3.39,17.8,1.45,7.5,1.21,1,0,0.0,0.0,0.0,0.0,0000,1,111n,0,21,21,21,21,16,21,3,0,
UGC09310,217.50465,3.22049,8.0,SBd,1848,1.28,1.9054605924362857,15.13,90.0,,5.31E-4,217.504532,3.221008,J143001.08+031315.6,217.504532,3.221008,0.14,0.126,97,14.146,0.03,14.113,0.044,11.336,0.118,8.688,0.304,,,,,,,2178103001241027097,36.7,9.27,24.7,1.73,9.2,1.05,3.6,1.04,2,0,0.0,0.0,0.0,0.0,0000,1,11nn,11,23,23,22,23,3,23,0,0,
UGC09470,220.45274999999998,0.68694,7.9,SBd,1886,1.07,1.174897696838254,15.12,71.4,,8.1E-5,220.452735,0.68686,J144148.65+004112.6,220.452735,0.68686,0.147,0.143,88,14.584,0.032,14.423,0.05,11.671,0.152,8.307,0.183,,,,,,,2208100001241041185,34.2,8.29,21.7,1.5,7.2,1.04,5.9,1.23,1,0,0.0,0.0,0.0,0.0,0000,1,11nn,0,23,23,22,23,2,23,0,0,
UGC09482,220.69575,0.66174,6.6,Scd,1825,1.09,1.2302688653672373,15.58,87.6,,1.49E-4,220.695624,0.66166,J144246.94+003941.9,220.695624,0.66166,0.129,0.127,70,14.251,0.029,14.084,0.042,11.538,0.134,9.39,0.508,,,,,,,2208100001241039339,37.0,8.27,25.6,1.72,8.1,0.867,2.1,0.949,1,0,0.0,0.0,0.0,0.0,0000,1,00nn,0,24,24,22,24,3,24,0,0,
UGC10854,261.19335,58.20573,6.0,Sc,2817,1.03,1.0715192346486087,15.81,64.1,,1.4E-4,261.193158,58.205633,J172446.35+581220.2,261.193158,58.205633,0.136,0.132,84,14.55,0.031,14.364,0.043,11.83,0.14,8.994,0.347,,,,,,,2603157501241039043,35.5,7.4,25.2,1.68,7.7,0.962,3.1,1.11,1,0,0.0,0.0,0.0,0.001,0000,1,11nn,0,28,28,27,28,3,27,1,0,
UGC12160,340.22715,75.16472,5.8,Sc,1554,1.12,1.3182567530303144,-,38.1,,7.0E-5,340.227017,75.164659,J224054.48+750952.7,340.227017,75.164659,0.032,0.032,24,11.204,0.023,11.159,0.021,8.073,0.017,5.811,0.036,14.084,0.081,13.187,0.088,13.125,0.088,3425175701241008546,46.4,70.0,50.9,32.4,63.1,21.7,30.6,7.53,1,0,0.0,0.0,0.0,0.0,0000,5,6220,0,24,24,24,24,22,22,22,747418887,0.584
UGC12313,345.43215,16.0675,9.8,I,1994,1.16,1.4454396596536672,15.40,90.0,,9.43E-4,345.431341,16.068034,J230143.52+160404.9,345.431341,16.068034,0.208,0.191,136,14.85,0.037,14.802,0.085,12.364,0.394,8.733,,,,,,,,3458116601241004921,29.1,3.76,12.8,1.16,2.8,0.937,0.9,1.07,1,0,0.0,0.0,0.0,0.0,0000,1,00nn,0,11,11,8,11,0,11,0,0,
UGC12690,353.91720000000004,1.19819,9.1,Sm,2615,1.14,1.3803842191347617,16.79,21.2,,0.001045,353.916155,1.198164,J233539.87+011153.3,353.916155,1.198164,0.399,0.34,124,15.807,0.068,15.244,0.12,12.25,,9.079,,,,,,,,3539101501241010368,16.0,1.88,9.0,1.07,0.9,0.972,-0.4,0.972,1,0,0.0,0.0,0.0,0.0,0000,0,01nn,0,11,12,5,12,0,12,0,0,
