# Fitzpatrick and Massa 2007, Rv = 5
# Wavelength_Angstrom	Alambda_Av
   14275.00      0.2642012    
   14325.00      0.2627181    
   14375.00      0.2612484    
   14425.00      0.2597920    
   14475.00      0.2583488    
   14525.00      0.2569184    
   14570.00      0.2556421    
   14620.00      0.2542360    
   14675.00      0.2527037    
   14725.00      0.2513236    
   14775.00      0.2499557    
   14825.00      0.2485998    
   14875.00      0.2472558    
   14925.00      0.2459236    
   14975.00      0.2446029    
   15025.00      0.2432937    
   15075.00      0.2419959    
   15125.00      0.2407092    
   15175.00      0.2394336    
   15225.00      0.2381689    
   15275.00      0.2369149    
   15325.00      0.2356717    
   15375.00      0.2344390    
   15425.00      0.2332168    
   15475.00      0.2320048    
   15525.00      0.2308030    
   15575.00      0.2296112    
   15625.00      0.2284294    
   15675.00      0.2272574    
   15725.00      0.2260952    
   15775.00      0.2249426    
   15825.00      0.2237994    
   15875.00      0.2226656    
   15925.00      0.2215412    
   15975.00      0.2204258    
   16050.00      0.2187698    
   16150.00      0.2165931    
   16250.00      0.2144511    
   16350.00      0.2123434    
   16450.00      0.2102690    
   16550.00      0.2082272    
   16650.00      0.2062174    
   16750.00      0.2042389    
   16850.00      0.2022910    
   16950.00      0.2003729    
   17050.00      0.1984842    
   17150.00      0.1966242    
   17250.00      0.1947923    
   17350.00      0.1929879    
   17450.00      0.1912105    
   17550.00      0.1894594    
   17650.00      0.1877342    
   17750.00      0.1860343    
   17850.00      0.1843592    
   17950.00      0.1827084    
   18050.00      0.1810815    
   18150.00      0.1794779    
   18250.00      0.1778972    
   18350.00      0.1763389    
   18450.00      0.1748027    
   18550.00      0.1732880    
   18650.00      0.1717945    
   18750.00      0.1703218    
   18850.00      0.1688694    
   18950.00      0.1674370    
   19050.00      0.1660242    
   19150.00      0.1646306    
   19250.00      0.1632559    
   19350.00      0.1618997    
   19450.00      0.1605616    
   19550.00      0.1592414    
   19650.00      0.1579387    
   19750.00      0.1566532    
   19850.00      0.1553846    
   19950.00      0.1541325    
   20050.00      0.1528967    
   20150.00      0.1516769    
   20250.00      0.1504728    
   20350.00      0.1492841    
   20450.00      0.1481106    
   20550.00      0.1469519    
   20650.00      0.1458079    
   20750.00      0.1446782    
   20850.00      0.1435627    
   20950.00      0.1424610    
   21050.00      0.1413730    
   21150.00      0.1402984    
   21250.00      0.1392369    
   21350.00      0.1381884    
   21450.00      0.1371527    
   21550.00      0.1361295    
   21650.00      0.1351186    
   21750.00      0.1341198    
   21850.00      0.1331329    
   21950.00      0.1321578    
   22050.00      0.1311941    
   22150.00      0.1302419    
   22250.00      0.1293007    
   22350.00      0.1283706    
   22450.00      0.1274512    
   22550.00      0.1265425    
   22650.00      0.1256442    
   22750.00      0.1247562    
   22850.00      0.1238784    
   22950.00      0.1230105    
   23050.00      0.1221524    
   23150.00      0.1213040    
   23250.00      0.1204651    
   23350.00      0.1196356    
   23450.00      0.1188153    
   23550.00      0.1180041    
   23650.00      0.1172017    
   23750.00      0.1164083    
   23850.00      0.1156235    
   23950.00      0.1148472    
   24050.00      0.1140793    
   24150.00      0.1133198    
   24250.00      0.1125684    
   24350.00      0.1118250    
   24450.00      0.1110896    
   24550.00      0.1103620    
   24650.00      0.1096420    
   24750.00      0.1089297    
   24850.00      0.1082248    
   24950.00      0.1075273    
   25050.00      0.1068370    
   25150.00      0.1061539    
   25250.00      0.1054779    
   25350.00      0.1048088    
   25450.00      0.1041466    
   25550.00      0.1034911    
   25650.00      0.1028423    
   25750.00      0.1022000    
   25850.00      0.1015642    
   25950.00      0.1009348    
   26050.00      0.1003118    
   26150.00      9.9694870E-02
   26250.00      9.9084117E-02
   26350.00      9.8479420E-02
   26450.00      9.7880661E-02
   26550.00      9.7287796E-02
   26650.00      9.6700728E-02
   26750.00      9.6119381E-02
   26850.00      9.5543675E-02
   26950.00      9.4973549E-02
   27050.00      9.4408907E-02
   27150.00      9.3849681E-02
   27250.00      9.3295828E-02
   27350.00      9.2747234E-02
   27450.00      9.2203863E-02
   27550.00      9.1665626E-02
   27650.00      9.1132469E-02
   27750.00      9.0604313E-02
   27850.00      9.0081111E-02
   27950.00      8.9562781E-02
   28050.00      8.9049280E-02
   28150.00      8.8540517E-02
   28250.00      8.8036455E-02
   28350.00      8.7537043E-02
   28450.00      8.7042183E-02
   28550.00      8.6551867E-02
   28650.00      8.6065993E-02
   28750.00      8.5584544E-02
   28850.00      8.5107438E-02
   28950.00      8.4634617E-02
   29050.00      8.4166065E-02
   29150.00      8.3701693E-02
   29250.00      8.3241440E-02
   29350.00      8.2785301E-02
   29450.00      8.2333185E-02
   29550.00      8.1885070E-02
   29650.00      8.1440896E-02
   29750.00      8.1000611E-02
   29850.00      8.0564164E-02
   29950.00      8.0131516E-02
   30050.00      7.9702631E-02
   30150.00      7.9277456E-02
   30250.00      7.8855939E-02
   30350.00      7.8438051E-02
   30450.00      7.8023732E-02
   30550.00      7.7612944E-02
   30650.00      7.7205665E-02
   30750.00      7.6801836E-02
   30850.00      7.6401420E-02
   30950.00      7.6004386E-02
   31050.00      7.5610682E-02
   31150.00      7.5220250E-02
   31250.00      7.4833095E-02
   31350.00      7.4449167E-02
   31450.00      7.4068412E-02
   31550.00      7.3690802E-02
   31650.00      7.3316306E-02
   31750.00      7.2944887E-02
   31850.00      7.2576515E-02
   31950.00      7.2211131E-02
   32100.00      7.1668640E-02
   32300.00      7.0955522E-02
   32500.00      7.0253842E-02
   32700.00      6.9563329E-02
   32900.00      6.8883762E-02
   33100.00      6.8214901E-02
   33300.00      6.7556493E-02
   33500.00      6.6908315E-02
   33700.00      6.6270180E-02
   33900.00      6.5641850E-02
   34100.00      6.5023102E-02
   34300.00      6.4413771E-02
   34500.00      6.3813634E-02
   34700.00      6.3222528E-02
   34900.00      6.2640235E-02
   35100.00      6.2066577E-02
   35300.00      6.1501402E-02
   35500.00      6.0944520E-02
   35700.00      6.0395766E-02
   35900.00      5.9854966E-02
   36100.00      5.9321988E-02
   36300.00      5.8796652E-02
   36500.00      5.8278821E-02
   36700.00      5.7768341E-02
   36900.00      5.7265073E-02
   37100.00      5.6768868E-02
   37300.00      5.6279607E-02
   37500.00      5.5797145E-02
   37700.00      5.5321343E-02
   37900.00      5.4852087E-02
   38100.00      5.4389246E-02
   38300.00      5.3932708E-02
   38500.00      5.3482354E-02
   38700.00      5.3038061E-02
   38900.00      5.2599721E-02
   39100.00      5.2167218E-02
   39300.00      5.1740468E-02
   39500.00      5.1319327E-02
   39700.00      5.0903726E-02
   39900.00      5.0493550E-02
   40100.00      5.0088707E-02
   40300.00      4.9689099E-02
   40500.00      4.9294639E-02
   40700.00      4.8905231E-02
   40900.00      4.8520777E-02
   41100.00      4.8141204E-02
   41300.00      4.7766421E-02
   41500.00      4.7396347E-02
   41700.00      4.7030896E-02
   41900.00      4.6669994E-02
   42100.00      4.6313554E-02
   42300.00      4.5961503E-02
   42500.00      4.5613784E-02
   42700.00      4.5270298E-02
   42900.00      4.4930998E-02
   43100.00      4.4595793E-02
   43300.00      4.4264622E-02
   43500.00      4.3937419E-02
   43700.00      4.3614127E-02
   43900.00      4.3294668E-02
   44100.00      4.2978983E-02
   44300.00      4.2667016E-02
   44500.00      4.2358700E-02
   44700.00      4.2053986E-02
   44900.00      4.1752808E-02
   45100.00      4.1455109E-02
   45300.00      4.1160837E-02
   45500.00      4.0869929E-02
   45700.00      4.0582351E-02
   45900.00      4.0298034E-02
   46100.00      4.0016934E-02
   46300.00      3.9738994E-02
   46500.00      3.9464176E-02
   46700.00      3.9192419E-02
   46900.00      3.8923688E-02
   47100.00      3.8657933E-02
   47300.00      3.8395099E-02
   47500.00      3.8135160E-02
   47700.00      3.7878055E-02
   47900.00      3.7623752E-02
   48100.00      3.7372205E-02
   48300.00      3.7123371E-02
   48500.00      3.6877211E-02
   48700.00      3.6633689E-02
   48900.00      3.6392760E-02
   49100.00      3.6154393E-02
   49300.00      3.5918549E-02
   49500.00      3.5685182E-02
   49700.00      3.5454262E-02
   49900.00      3.5225764E-02
   50100.00      3.4999635E-02
   50300.00      3.4775853E-02
   50500.00      3.4554385E-02
   50700.00      3.4335189E-02
   50900.00      3.4118243E-02
   51100.00      3.3903506E-02
   51300.00      3.3690955E-02
   51500.00      3.3480555E-02
   51700.00      3.3272278E-02
   51900.00      3.3066090E-02
   52100.00      3.2861967E-02
   52300.00      3.2659873E-02
   52500.00      3.2459795E-02
   52700.00      3.2261696E-02
   52900.00      3.2065544E-02
   53100.00      3.1871323E-02
   53300.00      3.1679001E-02
   53500.00      3.1488549E-02
   53700.00      3.1299952E-02
   53900.00      3.1113178E-02
   54100.00      3.0928202E-02
   54300.00      3.0745002E-02
   54500.00      3.0563558E-02
