# ABS is the dust attenuation cross-section, with R_V=A(V)/E(B-V)=3.1
# This is the attenuation law described in the paper
# To Apply multiply the galaxy spectrum by exp(-Dust_column*ABS)
# The Dust Column is an integrated depth that gives a certain A(V) :
# where A(V)=-2.5*log10(exp(-dust_col*abs[V_band]))
# as an example, the dust_col for 5 A(V)s has been included
#  
# A(V)        0.0      0.5      1.0      2.0      4.0     10.0
# dust_col   0.00000  2.02923  4.05845  8.11690 16.23380 40.58450
# 
# Notes added by Sébastien Viaene, Dec 27, 2015:
# In practice, compute the Av attenuation using equation 4 of Kreckel et al. 2013
# This assumes a screen geometry, which is not completely unrealistic for star forming regions.
# Av,screen = 0.67* Dust_column / 1e5 Msun/kpc2 with Dust_column in Msun/kpc2
#
# Then, to compute the attenuation at any other wavelength:
# A_lambda = Abs_lambda / Abs_V * Av
 
# wavel. (um)   Abs()
 1.05221E+01  1.90901E-02
 1.02711E+01  1.96333E-02
 1.00491E+01  2.11627E-02
 9.98090E+00  2.26685E-02
 9.76273E+00  2.31009E-02
 9.50741E+00  2.40403E-02
 9.27804E+00  2.52437E-02
 9.09115E+00  2.37591E-02
 9.00551E+00  2.17630E-02
 8.84720E+00  2.09655E-02
 8.69311E+00  1.93813E-02
 8.56807E+00  1.77384E-02
 8.41584E+00  1.64711E-02
 8.22747E+00  1.48327E-02
 8.07315E+00  1.23190E-02
 7.98646E+00  1.08523E-02
 7.90275E+00  1.03474E-02
 7.80851E+00  1.00120E-02
 7.72160E+00  9.70267E-03
 7.63426E+00  9.36368E-03
 7.56696E+00  8.83423E-03
 7.51065E+00  8.33527E-03
 7.43975E+00  7.88176E-03
 7.39494E+00  7.48126E-03
 7.37341E+00  7.26762E-03
 7.31706E+00  7.17720E-03
 7.14788E+00  6.96744E-03
 6.98519E+00  6.55963E-03
 6.85045E+00  6.35359E-03
 6.71989E+00  6.39826E-03
 6.66011E+00  6.48546E-03
 6.60098E+00  6.55319E-03
 6.54986E+00  6.64391E-03
 6.49918E+00  6.73153E-03
 6.43249E+00  6.85556E-03
 6.36669E+00  7.07436E-03
 6.26770E+00  7.40750E-03
 6.10139E+00  7.98232E-03
 5.96963E+00  7.98892E-03
 5.90650E+00  7.58390E-03
 5.85444E+00  7.51218E-03
 5.76843E+00  7.49835E-03
 5.67192E+00  7.54916E-03
 5.63777E+00  7.63540E-03
 5.60382E+00  7.67612E-03
 5.55566E+00  7.72301E-03
 5.51159E+00  7.79438E-03
 5.45941E+00  7.86448E-03
 5.40040E+00  7.95180E-03
 5.33892E+00  8.05636E-03
 5.23127E+00  8.17114E-03
 5.12722E+00  8.39033E-03
 5.09396E+00  8.62082E-03
 5.06093E+00  8.69778E-03
 5.01725E+00  8.77561E-03
 4.97599E+00  8.88128E-03
 4.92964E+00  8.98472E-03
 4.88498E+00  9.10447E-03
 4.77740E+00  9.22308E-03
 4.67114E+00  9.52044E-03
 4.63840E+00  9.83866E-03
 4.60594E+00  9.94081E-03
 4.56520E+00  1.00438E-02
 4.52997E+00  1.01764E-02
 4.49500E+00  1.02936E-02
 4.47263E+00  1.04125E-02
 4.46177E+00  1.04900E-02
 4.43395E+00  1.05280E-02
 4.40448E+00  1.06266E-02
 4.37525E+00  1.07332E-02
 4.33123E+00  1.08406E-02
 4.28785E+00  1.10065E-02
 4.24438E+00  1.11746E-02
 4.20368E+00  1.13478E-02
 4.16756E+00  1.15139E-02
 4.14169E+00  1.16640E-02
 4.11550E+00  1.17738E-02
 4.08168E+00  1.18866E-02
 4.05068E+00  1.20356E-02
 4.01805E+00  1.21750E-02
 3.98976E+00  1.23251E-02
 3.96006E+00  1.24580E-02
 3.93789E+00  1.25985E-02
 3.91586E+00  1.27050E-02
 3.86662E+00  1.28122E-02
 3.81836E+00  1.30578E-02
 3.79609E+00  1.33079E-02
 3.77397E+00  1.34264E-02
 3.73945E+00  1.35455E-02
 3.68553E+00  1.37350E-02
 3.61326E+00  1.40392E-02
 3.54242E+00  1.44682E-02
 3.46557E+00  1.49122E-02
 3.41039E+00  1.54199E-02
 3.38256E+00  1.58096E-02
 3.33935E+00  1.60222E-02
 3.29630E+00  1.64766E-02
 3.28208E+00  1.68664E-02
 3.25270E+00  1.69140E-02
 3.21027E+00  1.70611E-02
 3.14946E+00  1.73142E-02
 3.09065E+00  1.78029E-02
 3.07134E+00  1.83166E-02
 3.05510E+00  1.84920E-02
 3.03548E+00  1.86417E-02
 2.99579E+00  1.88259E-02
 2.92457E+00  1.92072E-02
 2.87218E+00  1.99188E-02
 2.81378E+00  2.04765E-02
 2.75748E+00  2.11229E-02
 2.71538E+00  2.17838E-02
 2.67438E+00  2.22971E-02
 2.65138E+00  2.28232E-02
 2.62958E+00  2.31241E-02
 2.61099E+00  2.34130E-02
 2.59919E+00  2.36646E-02
 2.58658E+00  2.38270E-02
 2.57505E+00  2.40025E-02
 2.56358E+00  2.41655E-02
 2.52659E+00  2.43292E-02
 2.49510E+00  2.48696E-02
 2.48078E+00  2.53459E-02
 2.45053E+00  2.55637E-02
 2.41996E+00  2.60351E-02
 2.37007E+00  2.65310E-02
 2.32289E+00  2.73706E-02
 2.29676E+00  2.82185E-02
 2.27888E+00  2.87046E-02
 2.24743E+00  2.90483E-02
 2.20939E+00  2.96624E-02
 2.19070E+00  3.04309E-02
 2.17659E+00  3.08151E-02
 2.17159E+00  3.11122E-02
 2.16390E+00  3.12186E-02
 2.12454E+00  3.13833E-02
 2.08509E+00  3.22476E-02
 2.07088E+00  3.31662E-02
 2.03596E+00  3.35054E-02
 2.00199E+00  3.43633E-02
 1.98943E+00  3.52482E-02
 1.97782E+00  3.55804E-02
 1.96622E+00  3.58878E-02
 1.95523E+00  3.62005E-02
 1.94963E+00  3.65014E-02
 1.94462E+00  3.66566E-02
 1.93903E+00  3.67965E-02
 1.92917E+00  3.69542E-02
 1.91399E+00  3.72342E-02
 1.90446E+00  3.76750E-02
 1.89499E+00  3.79570E-02
