name,Planck_350,Planck_350_err,Planck_350_flag,Planck_550,Planck_550_err,Planck_550_flag,Planck_850,Planck_850_err,Planck_850_flag,Planck_1380,Planck_1380_err,Planck_1380_flag,Planck_2100,Planck_2100_err,Planck_2100_flag,Planck_3000,Planck_3000_err,Planck_3000_flag,Planck_4260,Planck_4260_err,Planck_4260_flag,Planck_6810,Planck_6810_err,Planck_6810_flag,Planck_10600,Planck_10600_err,Planck_10600_flag
IC3322,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3331,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3355,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3358,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3371,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3381,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3391,0.85556597,0.468971287068,,,,,,,,,,,,,,,,,,,,,,,,,
IC3392,0.9978498,0.630996694661,,,,,,,,,,,,,,,,,,,,,,,,,
IC3393,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3413,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3430,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3459,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3468,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3475,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3476,1.0734749,0.435507872356,,,,,,,,,,,,,,,,,,,,,,,,,
IC3499,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3509,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3517,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3518,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3521,0.99985194,0.310091349228,,,,,,,,,,,,,,,,,,,,,,,,,
IC3586,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3611,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3631,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3718,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC4213,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC5270,3.0222695,0.302472726284,,0.99824715,0.14113978,,0.3538363,0.08192981,,,,,,,,,,,,,,,,,,,
IC5334,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0007,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0115,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0131,0.747188,0.365794636878,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0147,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0148,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0150,4.1832542,0.433239376064,,1.2631729,0.13418846,,0.3226064,0.10253068,,,,,,,,,,,,,,,,,,,
NGC0253,,,,81.46369,4.6918736,e,20.174288,1.1934855,e,5.289157,0.3193157,e,1.3077711,0.2016289,e,1.2421869,0.21285352,e,0.7001478,0.23438364,,1.023346,0.52478325,,1.0351641,0.30433032,
NGC0254,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC0274,1.3886445,0.44516896915,C,,,,,,,,,,,,,,,,,,,1.2707351,0.51264817,,1.13579,0.33385685,
NGC0275,,,,0.30635792,0.20007704,C,,,,,,,,,,,,,,,,,,,,,
NGC0289,6.4250817,0.468918610252,,2.1417706,0.16287279,,0.5598808,0.08340375,,,,,,,,,,,,,,,,,,,
NGC0300,16.905077,3.8374666382,e,6.386695,1.1716785,e,,,,,,,,,,,,,,,,,,,,,
NGC0337,4.4344563,3.4936631357,,1.5283395,0.87365246,,0.57296807,0.23483005,,0.10716026,0.13113292,,,,,,,,,,,,,,,,
NGC0428,2.8555694,0.5833355391,,0.85173273,0.1404876,,0.28894266,0.11936752,,,,,,,,,,,,,,,,,,,
NGC0448,,,,,,,,,,,,,,,,,,,,,,,,,1.1328211,0.31857276,
NGC0450,2.0181794,0.51414853923,C,0.748594,0.2555528,C,0.35140857,0.12760165,C,,,,,,,,,,,,,,,,,,
