name,IRAS_12,IRAS_12_err,IRAS_25,IRAS_25_err,IRAS_60,IRAS_60_err,IRAS_100,IRAS_100_err
IC1613,0.21,0.04887739670314971,0.23,0.052839380244905955,0.28,0.05913543779737217,0.48,0.1336600164529837
IC2085,0.06,0.023323807058053477,,,0.24,0.054120235731467646,0.84,0.18522418440545138
IC2163,0.86,0.17327723731725636,1.38,0.2772219318550875,12.15,2.4306451056057172,36.33,7.278890734193789
IC2233,0.0,0.024000000208616257,0.1,0.03440930194467626,0.24,0.06788225053029324,0.91,0.22961707705688839
IC2461,,,0.12,0.04326661371855788,1.27,0.2586831999503385,3.41,0.7002892414087983
IC2531,0.07,0.03862641440891243,0.1,0.03773592597506667,0.88,0.1843935997574864,4.64,0.987980233297801
IC2574,0.15,0.03661966766144183,0.08,0.021260291640888922,1.21,0.24361445716752114,1.51,0.3611204763276371
IC2828,0.06,0.03324153970788734,,,0.36,0.08598255788653143,0.74,0.25203174206472234
IC3019,0.11,0.03330165181160302,,,,,0.32,0.16124515614885843
IC3021,,,0.24,0.06931089359912324,,,0.18,0.19632880972861624
IC3023,,,0.12,0.04750789478723333,0.05,0.036400549630617465,0.36,0.18923265936118436
IC3033,,,0.15,0.06003332560424644,0.15,0.08637708093093552,,
IC3044,0.07,0.027784888189130982,,,0.06,0.04176122510220606,,
IC3059,,,,,,,,
IC3061,0.08,0.03312098941995751,0.07,0.03956008135677782,0.33,0.09263368737257326,1.46,0.4150770973191411
IC3065,,,,,,,0.47,0.2438462574512234
IC3077,,,,,,,,
IC3096,,,,,,,0.22,0.23122499673063657
IC3099,,,0.1,0.046518813015342754,,,,
IC3100,0.15,0.03905124953381168,,,0.07,0.03862641440891243,0.37,0.1927692953884124
IC3102,,,0.05,0.04414748156539873,0.26,0.06747592109206613,0.62,0.14288807006395515
IC3104,,,,,0.27,0.0799812495147641,,
IC3105,0.09,0.03244996245865863,0.07,0.04049691233668186,0.2,0.060959003075092666,,
IC3115,0.1,0.039446167590369584,,,0.21,0.058694122216067394,0.28,0.13423859490177983
IC3131,0.08,0.04308131749413353,0.16,0.057688820357829775,,,0.21,0.11123398722696104
IC3167,0.44,0.09398404068923054,0.24,0.06511528143241294,,,,
IC3229,0.08,0.04308131749413353,0.09,0.050328916881576355,0.11,0.04652956143806676,0.28,0.16292636113051157
IC3258,,,,,0.52,0.1133181334450737,0.84,0.26350141530181637
IC3259,0.04,0.04079215519696654,0.14,0.05643580318458075,0.19,0.06122091149121106,0.73,0.27242614234533585
IC3267,,,,,0.21,0.08947066817857235,,
IC3268,0.05,0.03162277601266368,,,0.7,0.14588008577352848,1.67,0.364116729987151
IC3305,,,,,,,,
IC3311,,,,,0.09,0.05692099943804393,0.23,0.26994814589471866
IC3313,,,0.02,0.03920459235916675,,,,
IC3322,,,0.15,0.05660388777796006,0.45,0.10153324292846151,1.75,0.3815809200080311
IC3331,,,,,,,,
IC3355,,,0.16,0.06536818765746147,-0.05,0.05787054524002428,0.33,0.21345959330663547
IC3358,,,0.12,0.06000833226701305,,,,
IC3371,,,,,0.14,0.04964876735166502,,
IC3381,0.15,0.048414873527269905,,,0.01,0.04404543085088794,,
IC3391,0.09,0.03000000059604645,0.12,0.04243819016736702,0.46,0.09740636737071103,1.33,0.29433315320718684
IC3392,0.06,0.023323807058053477,0.18,0.06080296026847577,0.78,0.15945218155585075,3.18,0.6580706777409605
IC3393,,,,,,,,
IC3413,,,,,,,,
IC3430,,,,,,,,
IC3459,0.14,0.04720169397184475,0.1,0.059464276717343646,,,0.18,0.10440306317656052
IC3468,,,0.13,0.05458937616847492,,,0.26,0.21731313326625154
IC3475,0.05,0.03162277601266368,,,,,,
IC3476,0.15,0.04172529236717946,0.12,0.055461698935000185,1.54,0.3125267912258933,3.06,0.6626160201130045
IC3499,,,,,,,,
IC3509,0.25,0.060464866870328884,0.19,0.06933974163612447,,,0.26,0.24850150935004406
IC3517,,,,,0.13,0.07000713992490187,0.43,0.17464248841625973
IC3518,0.14,0.044045432593202156,,,,,,
IC3521,0.02,0.031256998702260216,0.12,0.05188448691541851,1.02,0.20934421007595827,2.67,0.5566013096852922
IC3586,,,0.16,0.06449806313231059,-0.03,0.049365978900490666,,
IC3611,,,0.16,0.054405881421430886,0.36,0.084905833562364,0.25,0.21976351076391296
IC3631,0.07,0.03956008135677782,0.33,0.08786353141427848,,,,
IC3718,,,0.1,0.04833218380065289,0.23,0.08969392405574068,0.26,0.11182575595729398
IC4213,0.07,0.027784888189130982,,,0.26,0.0605392415729178,0.75,0.17596590588208208
IC5270,0.22,0.05162363815964846,0.28,0.06500000011462431,3.17,0.6355249950451706,8.17,1.6421099386709255
IC5334,0.11,0.04390899568301188,,,0.11,0.04390899568301188,0.43,0.13113733312765094
NGC0007,0.11,0.03405877306436281,,,0.26,0.061587334654407855,0.54,0.14855302264805095
NGC0115,,,,,0.4,0.09381364541018476,0.73,0.19682479753594084
NGC0131,0.11,0.035608988235468916,0.12,0.04243819016736702,0.53,0.11260550028334436,1.91,0.40070562105002
NGC0147,0.15,0.03661966766144183,0.12,0.03394112526514662,0.15,0.060901559956914125,,
NGC0148,0.02,0.027294688807603062,0.04,0.03883297444537235,,,,
NGC0150,0.37,0.0787718235091898,1.63,0.327665987503132,8.34,1.6685287236841555,17.32,3.4664761035423406
NGC0253,24.19,4.8380374154697385,128.33,25.66601789912685,797.16,159.43199804415545,1038.98,207.80678987156082
NGC0254,0.17,0.04161730450584559,0.07,0.043324359135859906,,,0.41,0.20053179117503953
NGC0274,0.23,0.05780138482079471,0.65,0.14001428095663424,4.91,0.9860248173039703,8.22,1.9017550102660343
NGC0275,0.24,0.05940538618201205,0.65,0.13892803401270898,4.9,0.9839431067394651,8.14,1.8986609017528178
NGC0289,0.24,0.05507267866031507,0.57,0.11954915124024718,4.43,0.8869024405715004,16.16,3.235206299596534
NGC0300,,,,,3.81,0.7621285866383074,17.68,3.574615003066337
NGC0337,0.19,0.047801672725558526,0.66,0.14300000472710686,7.86,1.5749898680654733,16.84,3.51218453236996
NGC0428,0.04,0.034928500150816263,0.18,0.062425956185885124,1.73,0.3553547560936738,4.78,0.9907250250556955
NGC0448,,,,,0.14,0.08759565903784311,,
NGC0450,0.09,0.034985711162074044,0.28,0.06824221632879879,2.4,0.5031908347957834,5.08,1.1215529248910636
NGC0493,0.12,0.038418744565871216,0.17,0.05099019446378549,1.73,0.3483044682002299,4.27,0.861575297636885
NGC0520,0.69,0.14061649940960733,2.88,0.5775292428263902,29.84,5.968185098009825,45.77,9.156272913942173
NGC0584,,,,,0.11,0.05280151545939863,0.14,0.1722904542179952
NGC0586,0.14,0.05385164820969885,,,0.13,0.06174139732792598,0.9,0.2713097785039026
NGC0613,0.83,0.16787197178343058,2.64,0.5289688291884853,19.23,3.846251590283116,52.31,10.463497443366062
NGC0625,0.15,0.03661966766144183,0.94,0.1903785696460505,4.89,0.9785233507006568,8.56,1.7170813280577877
NGC0628,0.38,0.07969943453409871,0.6,0.12713772491611094,6.34,1.2686954233956291,32.45,6.493864641620457
NGC0678,0.11,0.03405877306436281,0.02,0.03622153900243406,0.37,0.08411896379306052,1.22,0.2896066363130816
NGC0720,0.16,0.040607880674200236,0.08,0.03757658997570832,,,,
NGC0855,0.03,0.01992485822219736,0.06,0.03231098812060015,0.95,0.1933804513967984,2.57,0.5426527292222499
NGC0891,1.45,0.291163194032498,1.95,0.39156737280970005,35.52,7.10412424586829,139.6,27.922996779924432
NGC0895,0.15,0.03720215136629018,0.13,0.041231056834426634,1.25,0.25272316877422607,5.68,1.1426394544355836
NGC0925,0.2,0.04517742838843961,0.25,0.05462600108698047,3.55,0.7111828081096231,14.19,2.8416508444680275
NGC1052,0.2,0.04428317992723318,0.5,0.10469479437196653,0.74,0.15121177379147283,1.2,0.2631805562399
NGC1056,0.34,0.07211102625319071,0.46,0.09646242925970797,5.34,1.0694671876121977,10.84,2.207928473227353
NGC1068,37.86,7.5721005572229165,91.32,18.2640739642233,178.32,35.66402389641844,236.53,47.30838443548569
NGC1097,2.19,0.43850314709604243,6.25,1.2501443916511341,44.4,8.880047658648776,85.37,17.074876976295418
NGC1140,0.11,0.03041381236977148,0.46,0.09992497370450905,3.23,0.647496721928079,5.38,1.085860050203896
NGC1189,,,,,0.18,0.06080296026847577,0.8,0.21063950071253398
NGC1199,,,,,0.12,0.05188448691541851,0.09,0.1391689587213976
NGC1222,0.5,0.10283968110614493,2.41,0.48391426582995467,13.02,2.6043387791835158,15.66,3.134655452690901
NGC1266,0.14,0.03753664909527983,1.24,0.25120509723036943,13.24,2.6484532764318827,16.98,3.4008199564373376
NGC1316,0.32,0.06596968880639978,0.25,0.05119570293187406,2.99,0.5985649524563595,8.65,2.120371575164145
NGC1317,0.23,0.051429564248855385,0.23,0.0523545613619027,3.24,0.7035481479343603,9.56,2.2098435260631546
NGC1320,0.34,0.07316419981858564,1.19,0.2402769348805376,2.25,0.45160159422563595,3.25,0.6646961708948818
NGC1336,0.05,0.023259406507671377,0.02,0.021377558031581104,,,0.26,0.10394229382386133
NGC1351,,,,,,,,
NGC1351A,,,0.02,0.017464250075408132,0.27,0.06276942192674428,1.07,0.2357901702439763
NGC1365,3.68,0.7361963187117497,11.98,2.3961201057729387,73.77,14.754017255945014,145.29,29.05977162624745
NGC1369,0.04,0.020615527495627374,0.06,0.02247220439446673,,,0.06,0.10568348643534174
NGC1373,,,0.07,0.03310589013205649,,,0.36,0.1538830803640635
NGC1374,,,,,0.1,0.03360059597298948,0.13,0.09464142652200216
NGC1375,,,0.07,0.026925824104849425,,,0.21,0.10478549541834455
NGC1377,0.36,0.07528612360018348,1.99,0.3992054627467388,7.2,1.440312427946273,6.02,1.2089238976223777
NGC1379,,,,,,,,
NGC1380A,,,,,,,0.32,0.12726350492487748
NGC1381,0.04,0.017888544419758495,,,,,,
NGC1386,0.41,0.0833606614215589,1.48,0.2965467960211437,4.99,0.9984212079988958,9.66,1.9343342218586688
NGC1387,0.17,0.03944616592822808,0.15,0.034985711992620676,2.23,0.446816521002222,5.92,1.1867674735058409
NGC1389,,,0.05,0.025079872508379952,,,,
NGC1399,0.12,0.04243819016736702,0.15,0.03780211731612312,0.39,0.08357032675206728,0.31,0.09577577931025569
NGC1404,0.1,0.029000000000513837,,,,,0.29,0.10960383303791564
NGC1412,,,,,0.15,0.03905124953381168,,
NGC1419,0.14,0.03687817805544765,,,,,0.28,0.12165525320268436
NGC1427,,,,,,,,
NGC1427A,0.04,0.020615527495627374,0.02,0.02039607759848327,0.19,0.047801672725558526,0.63,0.15199013096798727
NGC1428,0.13,0.03162277537652196,0.04,0.02340939964829872,0.05,0.03352611072365858,0.2,0.09575489341069196
NGC1436,0.03,0.018027757203887655,0.07,0.02523885872573884,0.42,0.0876413120510466,2.41,0.5027653711796518
NGC1437B,0.2,0.043462628534125324,0.06,0.019209372282935608,0.25,0.055901699604094794,1.06,0.2269471198017922
NGC1460,,,0.05,0.020591259676990603,0.1,0.039446167590369584,0.22,0.11016805657443238
NGC1481,,,,,0.37,0.14958609193827885,42.33,8.563266377293699
NGC1482,1.67,0.3350895317737175,4.99,0.9984813010762703,28.48,5.696405792913094,47.32,9.46759820908052
NGC1510,0.06,0.025942243457709256,0.16,0.042520583281777845,0.95,0.1950282007121754,1.01,0.22905894401777355
NGC1512,0.2,0.04386342462449487,0.27,0.05604462705455877,3.04,0.608555659533745,11.04,2.2104010872086435
NGC1566,0.94,0.18867962223045692,1.45,0.29029124261383576,13.46,2.6920819157419356,47.13,9.426896627521803
NGC1569,0.82,0.16637307348002928,7.2,1.4401680076058747,44.97,8.995013362583183,47.98,9.717995633897335
NGC1617,0.07,0.019798990220934832,0.07,0.021260292236646834,0.57,0.11610340076241599,3.48,0.7002463889559194
NGC1705,,,0.09,0.03162277744987276,0.99,0.20142740824077546,1.78,0.37797486286179777
NGC1800,0.04,0.01878829498785416,0.12,0.03324153992081525,0.79,0.1601249555316718,1.79,0.3742258595629461
NGC1808,4.48,0.896161261641759,16.78,3.3560431942667783,90.81,18.162039265004886,140.71,28.14380927629223
NGC1924,0.29,0.06397655698944156,0.47,0.0996242939416666,3.45,0.6941728983396352,7.94,1.683515682554149
NGC2110,0.33,0.07470609316926295,0.88,0.18141664654415207,4.03,0.843291210455717,3.99,1.6245088165621624
NGC2146,6.25,1.2501295932710756,18.4,3.680039189805997,134.55,26.910045221979765,182.51,36.50394571547667
NGC2207,0.91,0.18288794897794947,1.71,0.34298688786366294,12.18,2.436814580039064,37.3,7.475554943745201
NGC2273,0.47,0.10255242585156797,1.36,0.27343738150588603,6.16,1.232649149082237,9.96,2.0004799500437676
NGC2403,,,,,,,68.73,13.747858395255095
NGC2480,0.11,0.04134005327990766,,,0.75,0.16082288334190542,1.5,0.3679252638741561
NGC2481,0.11,0.04219004483494772,0.39,0.1221474475728989,0.57,0.13122880538928652,1.32,0.33984114848296554
NGC2549,0.06,0.02418677286600203,0.07,0.028653097917945656,0.16,0.053600373877526475,,
NGC2577,0.28,0.06352952059058643,,,0.17,0.0629682456320543,0.77,0.290227500709665
NGC2592,0.11,0.03883297686283623,,,,,,
NGC2655,0.16,0.03827531766468446,0.16,0.03883297502095898,1.52,0.30612415384788605,5.0,1.0104578164327425
