name,IRAS_12,IRAS_12_err,IRAS_12_flag,IRAS_25,IRAS_25_err,IRAS_25_flag,IRAS_60,IRAS_60_err,IRAS_60_flag,IRAS_100,IRAS_100_err,IRAS_100_flag
NGC0289,0.24,0.0550726786603,e,0.57,0.11954915124,e,4.43,0.886902440572,e,16.16,3.2352062996,
NGC0300,,,,,,,3.81,0.762128586638,e,17.68,3.57461500307,e
NGC0337,0.19,0.0478016727256,e,0.66,0.143000004727,e,7.86,1.57498986807,e,16.84,3.51218453237,
NGC0428,0.04,0.0349285001508,e,0.18,0.0624259561859,e,1.73,0.355354756094,e,4.78,0.990725025056,
NGC0448,,,,,,,0.14,0.0875956590378,,,,
NGC0450,0.09,0.0349857111621,eC,0.28,0.0682422163288,eC,2.4,0.503190834796,C,5.08,1.12155292489,C
NGC0493,0.12,0.0384187445659,e,0.17,0.0509901944638,e,1.73,0.3483044682,e,4.27,0.861575297637,
NGC0520,0.69,0.14061649941,e,2.88,0.577529242826,e,29.84,5.96818509801,,45.77,9.15627291394,
NGC0584,,,,,,,0.11,0.0528015154594,,0.14,0.172290454218,
NGC0586,0.14,0.0538516482097,e,,,,0.13,0.0617413973279,,0.9,0.271309778504,
NGC0613,0.83,0.167871971783,e,2.64,0.528968829188,e,19.23,3.84625159028,e,52.31,10.4634974434,e
NGC0625,0.15,0.0366196676614,e,0.94,0.190378569646,e,4.89,0.978523350701,e,8.56,1.71708132806,
NGC0628,0.38,0.0796994345341,e,0.6,0.127137724916,e,6.34,1.2686954234,e,32.45,6.49386464162,e
NGC0678,0.11,0.0340587730644,e,0.02,0.0362215390024,e,0.37,0.0841189637931,,1.22,0.289606636313,
NGC0720,0.16,0.0406078806742,e,0.08,0.0375765899757,e,,,,,,
NGC0855,0.03,0.0199248582222,e,0.06,0.0323109881206,e,0.95,0.193380451397,,2.57,0.542652729222,
NGC0891,1.45,0.291163194032,e,1.95,0.39156737281,e,35.52,7.10412424587,e,139.6,27.9229967799,e
NGC0895,0.15,0.0372021513663,e,0.13,0.0412310568344,e,1.25,0.252723168774,e,5.68,1.14263945444,
NGC0925,0.2,0.0451774283884,e,0.25,0.054626001087,e,3.55,0.71118280811,e,14.19,2.84165084447,e
NGC1052,0.2,0.0442831799272,e,0.5,0.104694794372,e,0.74,0.151211773791,,1.2,0.26318055624,
NGC1056,0.34,0.0721110262532,e,0.46,0.0964624292597,e,5.34,1.06946718761,,10.84,2.20792847323,
NGC1068,37.86,7.57210055722,e,91.32,18.2640739642,e,178.32,35.6640238964,e,236.53,47.3083844355,e
NGC1097,2.19,0.438503147096,e,6.25,1.25014439165,e,44.4,8.88004765865,e,85.37,17.0748769763,e
NGC1140,0.11,0.0304138123698,e,0.46,0.0999249737045,e,3.23,0.647496721928,,5.38,1.0858600502,
NGC1189,,,,,,,0.18,0.0608029602685,,0.8,0.210639500713,
NGC1199,,,,,,,0.12,0.0518844869154,C,0.09,0.139168958721,C
NGC1222,0.5,0.102839681106,e,2.41,0.48391426583,e,13.02,2.60433877918,,15.66,3.13465545269,
NGC1266,0.14,0.0375366490953,e,1.24,0.25120509723,e,13.24,2.64845327643,,16.98,3.40081995644,
NGC1316,0.32,0.0659696888064,eC,0.25,0.0511957029319,eC,2.99,0.598564952456,eC,8.65,2.12037157516,C
NGC1317,0.23,0.0514295642489,e,0.23,0.0523545613619,e,3.24,0.703548147934,e,9.56,2.20984352606,
NGC1320,0.34,0.0731641998186,e,1.19,0.240276934881,e,2.25,0.451601594226,,3.25,0.664696170895,
NGC1336,0.05,0.0232594065077,e,0.02,0.0213775580316,e,,,,0.26,0.103942293824,
NGC1351,,,,,,,,,,,,
NGC1351A,,,,0.02,0.0174642500754,e,0.27,0.0627694219267,,1.07,0.235790170244,
NGC1365,3.68,0.736196318712,e,11.98,2.39612010577,e,73.77,14.7540172559,e,145.29,29.0597716262,e
NGC1369,0.04,0.0206155274956,e,0.06,0.0224722043945,e,,,,0.06,0.105683486435,
NGC1373,,,,0.07,0.0331058901321,e,,,,0.36,0.153883080364,
NGC1374,,,,,,,0.1,0.033600595973,,0.13,0.094641426522,
NGC1375,,,,0.07,0.0269258241048,ec,,,,0.21,0.104785495418,c
NGC1377,0.36,0.0752861236002,e,1.99,0.399205462747,e,7.2,1.44031242795,,6.02,1.20892389762,
NGC1379,,,,,,,,,,,,
NGC1380A,,,,,,,,,,0.32,0.127263504925,
NGC1381,0.04,0.0178885444198,e,,,,,,,,,
NGC1386,0.41,0.0833606614216,e,1.48,0.296546796021,e,4.99,0.998421207999,,9.66,1.93433422186,
NGC1387,0.17,0.0394461659282,e,0.15,0.0349857119926,e,2.23,0.446816521002,,5.92,1.18676747351,
NGC1389,,,,0.05,0.0250798725084,e,,,,,,
NGC1399,0.12,0.0424381901674,e,0.15,0.0378021173161,e,0.39,0.0835703267521,,0.31,0.0957757793103,
NGC1404,0.1,0.0290000000005,e,,,,,,,0.29,0.109603833038,
NGC1412,,,,,,,0.15,0.0390512495338,,,,
NGC1419,0.14,0.0368781780554,e,,,,,,,0.28,0.121655253203,
NGC1427,,,,,,,,,,,,
NGC1427A,0.04,0.0206155274956,e,0.02,0.0203960775985,e,0.19,0.0478016727256,,0.63,0.151990130968,
NGC1428,0.13,0.0316227753765,e,0.04,0.0234093996483,e,0.05,0.0335261107237,,0.2,0.0957548934107,
NGC1436,0.03,0.0180277572039,e,0.07,0.0252388587257,e,0.42,0.087641312051,e,2.41,0.50276537118,
NGC1437B,0.2,0.0434626285341,e,0.06,0.0192093722829,e,0.25,0.0559016996041,,1.06,0.226947119802,
NGC1460,,,,0.05,0.020591259677,e,0.1,0.0394461675904,C,0.22,0.110168056574,C
NGC1481,,,,,,,0.37,0.149586091938,c,42.33,8.56326637729,c
NGC1482,1.67,0.335089531774,e,4.99,0.998481301076,e,28.48,5.69640579291,e,47.32,9.46759820908,
NGC1510,0.06,0.0259422434577,e,0.16,0.0425205832818,e,0.95,0.195028200712,,1.01,0.229058944018,
NGC1512,0.2,0.0438634246245,ec,0.27,0.0560446270546,ec,3.04,0.608555659534,ec,11.04,2.21040108721,ec
NGC1566,0.94,0.18867962223,e,1.45,0.290291242614,e,13.46,2.69208191574,e,47.13,9.42689662752,e
NGC1569,0.82,0.16637307348,e,7.2,1.44016800761,e,44.97,8.99501336258,e,47.98,9.7179956339,
NGC1617,0.07,0.0197989902209,e,0.07,0.0212602922366,e,0.57,0.116103400762,e,3.48,0.700246388956,
NGC1705,,,,0.09,0.0316227774499,e,0.99,0.201427408241,,1.78,0.377974862862,
NGC1800,0.04,0.0187882949879,e,0.12,0.0332415399208,e,0.79,0.160124955532,,1.79,0.374225859563,
NGC1808,4.48,0.896161261642,e,16.78,3.35604319427,e,90.81,18.162039265,e,140.71,28.1438092763,e
NGC1924,0.29,0.0639765569894,e,0.47,0.0996242939417,e,3.45,0.69417289834,,7.94,1.68351568255,
NGC2110,0.33,0.0747060931693,e,0.88,0.181416646544,e,4.03,0.843291210456,,3.99,1.62450881656,
NGC2146,6.25,1.25012959327,e,18.4,3.68003918981,e,134.55,26.910045222,e,182.51,36.5039457155,
NGC2207,0.91,0.182887948978,eC,1.71,0.342986887864,eC,12.18,2.43681458004,eC,37.3,7.47555494375,eC
NGC2273,0.47,0.102552425852,e,1.36,0.273437381506,e,6.16,1.23264914908,,9.96,2.00047995004,
NGC2403,,,,,,,,,,68.73,13.7478583953,e
NGC2480,0.11,0.0413400532799,eC,,,,0.75,0.160822883342,C,1.5,0.367925263874,C
NGC2481,0.11,0.0421900448349,eC,0.39,0.122147447573,eC,0.57,0.131228805389,C,1.32,0.339841148483,C
NGC2549,0.06,0.024186772866,e,0.07,0.0286530979179,e,0.16,0.0536003738775,,,,
NGC2577,0.28,0.0635295205906,e,,,,0.17,0.0629682456321,,0.77,0.29022750071,
NGC2592,0.11,0.0388329768628,e,,,,,,,,,
NGC2655,0.16,0.0382753176647,e,0.16,0.038832975021,e,1.52,0.306124153848,,5.0,1.01045781643,
NGC2679,,,,,,,-0.04,0.0437378568602,,0.32,0.13248395768,
NGC2685,0.05,0.0223606794418,e,,,,0.3,0.0704911364739,e,1.66,0.397175015932,
NGC2764,0.28,0.0650000001146,e,0.55,0.121671692008,e,3.73,0.747673729488,,6.48,1.31420698811,
NGC2768,0.08,0.0233452354875,e,0.04,0.0206155274956,e,0.35,0.0765571668866,,1.07,0.256275252862,
NGC2778,0.23,0.0543783047582,e,,,,,,,0.39,0.120615088553,
NGC2787,0.1,0.0420594822508,e,0.08,0.0296816442803,e,0.64,0.136356148069,,0.54,0.549713537839,
